preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
1622359,125;6;11;4;4;5;385,8800049;35;917,451416;176,8096924;3437,654053;2719,217041;4204,310059
80000,25;2;1;2;1;1;57,54999924;0;451,2497864;459,1278992;1338,48999;7753,828125;1390,099976
490799,625;7;12;4;3;2;140,5299988;29;1836,998047;1539,983032;1139,19397;2820,087891;3492,48999
76422,00781;4;10;2;1;1;50,66999817;26;2184,906006;323,2171021;350,6209106;3495,188965;1508,22998
255999,4844;2;9;4;3;3;112,5500031;27;963,4331055;50,9510498;2729,702881;4366,275879;2274,540039
288000,375;3;7;4;3;3;128,8500061;29;237,9815979;737,762085;1982,63501;2321,054932;2235,159912
389999,7188;6;9;3;2;2;114;2;755,397522;2597,434082;537,6987305;4064,487061;3421,050049
479299,7813;5;10;3;3;3;119,5299988;24;1562,352051;496,7532959;405,5190125;2149,840088;4009,870117
402245,1875;2;11;4;3;3;130,8999939;28;884,8966064;2162,989014;876,4525757;2638,871094;3072,919922
607400;4;11;4;3;2;167,7400055;30;2542,621094;1266,235962;3334,727051;1182,534058;3621,080078
58619,85156;4;9;2;1;1;43,90999985;13;202,8126068;65,8440094;6496,394043;4197,75293;1335
803499,4375;2;12;4;4;4;240,3600006;30;1152,196045;1429,057007;546,0255127;1122,812988;3342,899902
195299,9688;4;6;3;2;2;86;20;443,1362;874,8198242;463,6691895;6465,416992;2270,929932
76000,04688;5;3;2;2;1;62,38000107;18;599,1019897;46,25381088;3608,955078;2045,906982;1218,339966
410619,8125;7;12;4;2;2;128,6000061;36;513,4296875;452,3128052;2157,863037;2683,832031;3193
164999,8125;2;12;1;1;1;63,43999863;30;492,2871094;2118,905029;511,7511902;2954,529053;2600,879883
731131,0625;4;10;4;4;4;206;36;3416,441895;1402,532959;1434,275024;4971,020996;3549,179932
