Data,Pessoas de 14 anos ou mais de idade (mil),Pessoas na força de trabalho (mil),Pessoas ocupadas (mil),Pessoas desocupadas (mil),Salário mínimo real do último mês em reais,Preços - IPCA geral (% a.m.),IBC-Br (2002=100),Vendas reais - varejo ampliado - índice (2014=100),Expectativa média de Inflação (% a.a.),PIB em reais (milhões),Taxa de câmbio efetiva real
2012-03-01,155670.0,95191,80763.0,7559,478.308566396171,0.21,146.35,97.1,5.43,392996.5,100.640350380513
2012-04-01,155810.0,95833,88407.0,7426,475.26572175338,0.64,139.85,88.8,5.57,381795.3,103.411361130835
2012-05-01,155920.0,96179,88863.0,7317,472.666514800873,0.36,144.56,96.5,5.52,400281.3,108.657351178033
2012-06-01,156215.0,96375,89129.0,7245,471.442580625628,0.08,142.28,99.0,5.38,398714.5,110.431505901959
2012-07-01,156344.0,96342,89181.0,7162,469.423663854222,0.43,147.46,99.3,5.58,414617.4,108.835474677813
2012-08-01,156543.0,96458,89428.0,7030,467.321230630465,0.41,149.91,106.5,5.68,419906.3,109.444328663789
2012-09-01,156774.0,96454,89639.0,6815,464.394474436083,0.57,141.6,91.5,5.64,393524.7,110.637244680222
2012-10-01,156983.0,96362,89723.0,6639,461.121656729239,0.0,147.71,103.1,5.47,422672.1,0.0
2012-11-01,157240.0,96386,89867.0,6519,458.644605489793,0.6,144.15,100.1,5.36,423816.4,111.72463390699
2012-12-01,157426.0,96468,89857.0,6611,455.2755138485,0.79,139.52,120.3,5.63,423195.9,112.442629498884
2013-01-01,157.558,96473,89520.0,6953,491.74075474991,0.86,139.32,97.1,5.7,414131.8,109.426017023022
2013-02-01,157732.0,96577,89133.0,7444,489.196424476577,0.6,136.14,85.9,5.5,398645.4,106.08763800159
2013-03-01,158069.0,96702,88999.0,7704,486.279072614075,0.47,148.01,100.2,5.53,427409.8,105.018221454286
2013-04-01,158240.0,97032,89437.0,7596,483.426730457085,0.55,149.79,96.9,5.56,438856.8,105.597028389432
2013-05-01,158294.0,97195,89839.0,7355,481.7403933929,0.37,147.03,100.7,5.62,439054.2,106.547822416457
2013-06-01,158288.0,97323,90099.0,7225,480.394763861092,0.26,144.87,97.0,0.0,442857.0,113.4658492321
2013-07-01,158455.0,97481,90388.0,7093,481.02019790861,0.03,152.13,103.0,5.66,458458.9,117.519019503405
2013-08-01,158657.0,97423,90506.0,6917,480.252107286412,0.24,151.81,105.6,6.06,452862.2,122.798829373111
2013-09-01,158873.0,97460,90707.0,6753,478.95831324214,0.35,147.27,98.6,6.16,438766.7,119.244227739364
2013-10-01,159068.0,97356,90828.0,6528,476.054478746872,0.57,151.9,105.4,6.25,466166.0,115.451982337893
2013-11-01,159228.0,97514,91204.0,6309,473.497964595654,0.54,147.79,106.1,6.14,465693.8,119.838297601439
2013-12-01,159587.0,97416,91403.0,6013,470.112507393682,0.92,145.77,123.7,6.11,473552.5,122.023741426075
2014-01-01,159700.0,97330,91112.0,6218,498.866075570539,0.55,142.72,101.7,6.02,455935.0,123.19103167325
2014-02-01,159786.0,97594,91015.0,6579,495.693288837172,0.69,143.53,92.9,6.17,450358.8,122.805417279034
2014-03-01,159959.0,97783,90.782,7001,491.661410263193,0.92,149.03,94.6,6.42,462159.8,118.945914561657
2014-04-01,160336.0,98076,91081.0,6995,487.856532096294,0.67,147.69,96.9,6.22,468767.5,113.539029432169
